--- Si/SiO2 P=1.0um wl=1.55 17deg  TE ---   (reference: degree 64)
 deg   stab=False err    stab=True err     worse by
   8        3.796e-07        2.909e-07         0.77x
  10        1.037e-07        4.827e-08         0.47x
  12        2.397e-08        1.267e-08         0.53x
  14        7.034e-09        4.077e-09         0.58x
  16        2.449e-09        1.518e-09         0.62x
  20        4.219e-10        4.219e-10         1.00x
  24        1.001e-10        1.001e-10         1.00x
  28        2.959e-11        2.239e-11         0.76x

--- Si/air  P=0.9um wl=0.94  0deg  TE ---   (reference: degree 64)
 deg   stab=False err    stab=True err     worse by
   8        3.709e-06        6.689e-06         1.80x
  10        2.476e-06        1.125e-06         0.45x
  12        5.537e-07        5.537e-07         1.00x
  14        1.589e-07        1.589e-07         1.00x
  16        5.441e-08        3.347e-08         0.62x
  20        9.168e-09        9.168e-09         1.00x
  24        2.149e-09        1.553e-09         0.72x
  28        6.300e-10        6.300e-10         1.00x

--- TiO2/air P=0.4um wl=0.55 33deg  TE ---   (reference: degree 64)
 deg   stab=False err    stab=True err     worse by
   8        6.624e-07        2.678e-07         0.40x
  10        1.189e-07        5.678e-08         0.48x
  12        2.890e-08        1.550e-08         0.54x
  14        8.705e-09        5.081e-09         0.58x
  16        3.070e-09        1.911e-09         0.62x
  20        5.344e-10        3.643e-10         0.68x
  24        1.269e-10        9.186e-11         0.72x
  28        3.707e-11        2.790e-11         0.75x

--- Si/SiO2 P=1.0um wl=1.55 17deg  TM ---   (reference: degree 64)
 deg   stab=False err    stab=True err     worse by
   8        1.231e-04        8.670e-05         0.70x
  10        6.353e-05        4.782e-05         0.75x
  12        3.690e-05        2.902e-05         0.79x
  14        2.322e-05        1.885e-05         0.81x
  16        1.550e-05        1.288e-05         0.83x
  20        7.811e-06        7.811e-06         1.00x
  24        4.406e-06        4.406e-06         1.00x
  28        2.675e-06        2.381e-06         0.89x

--- Si/air  P=0.9um wl=0.94  0deg  TM ---   (reference: degree 64)
 deg   stab=False err    stab=True err     worse by
   8        6.891e-05        4.552e-05         0.66x
  10        3.049e-05        2.124e-05         0.70x
  12        1.525e-05        1.120e-05         0.73x
  14        8.396e-06        6.392e-06         0.76x
  16        4.935e-06        4.935e-06         1.00x
  20        1.940e-06        1.565e-06         0.81x
  24        8.462e-07        8.462e-07         1.00x
  28        3.881e-07        3.881e-07         1.00x

--- TiO2/air P=0.4um wl=0.55 33deg  TM ---   (reference: degree 64)
 deg   stab=False err    stab=True err     worse by
   8        1.223e-04        8.682e-05         0.71x
  10        6.377e-05        4.814e-05         0.75x
  12        3.722e-05        2.933e-05         0.79x
  14        2.351e-05        1.912e-05         0.81x
  16        1.574e-05        1.311e-05         0.83x
  20        7.979e-06        6.864e-06         0.86x
  24        4.522e-06        4.522e-06         1.00x
  28        2.756e-06        2.756e-06         1.00x

